timestamp,event_duration_s,peak_order,peak_feedback,max_error,rms_error,mean_stress,avg_weight,is_loaded
2026-02-24 16:10:03,ARMGC_212,76.1,9418,9207,9271,1420.36,221.31,10949.14,0.5,0
2026-02-24 16:12:23,33.78,5999,6261,6033,1877.12,533.92,1.8,0
2026-02-24 16:12:23,ARMGC_246,33.78,5999,6228,6028,1846.82,523.32,15391.25,1.8,0
2026-02-24 16:13:11,ARMGC_212,49.25,6281,6202,6316,1580.09,355.46,15609.59,0.7,0
2026-02-24 16:13:14,ARMGC_212,3.27,199,315,103,52.48,43.05,144.82,0.5,0
2026-02-24 16:15:44,22.22,5287,4958,5278,1940.88,637.55,1.3,0
2026-02-24 16:15:44,ARMGC_246,22.22,5287,4981,5253,1887.0,614.19,11175.45,1.3,0
2026-02-24 16:15:47,2.86,199,292,93,40.34,33.38,1.0,0
2026-02-24 16:15:47,ARMGC_246,2.76,199,279,75,34.68,30.82,135.06,1.0,0
2026-02-24 16:21:16,ARMGC_212,88.45,10000,9872,9999,2187.71,497.8,40766.82,-0.8,0
2026-02-24 16:21:48,ARMGC_212,8.09,6826,6582,6834,3681.01,1736.8,13649.1,-1.2,0
2026-02-24 16:23:06,ARMGC_212,47.99,5656,5429,5770,1661.4,399.03,15513.95,0.5,0
2026-02-24 16:29:47,ARMGC_212,56.15,6826,6564,6854,1631.59,351.87,17490.22,-1.6,0
2026-02-24 16:30:02,ARMGC_246,114.66,5999,6224,5999,1195.37,245.98,29098.92,-1.1,0
2026-02-24 16:30:02,114.46,5999,6224,5999,1181.18,243.14,-1.1,0
2026-02-24 16:32:52,ARMGC_212,1.05,3275,55,3303,2964.69,1620.05,44.76,-0.5,0
2026-02-24 16:34:31,ARMGC_212,25.65,3275,3333,3300,1020.81,285.49,6658.78,-0.8,0
2026-02-24 16:34:35,ARMGC_212,2.76,199,235,106,42.91,28.19,72.24,-1.3,0
2026-02-24 16:35:54,ARMGC_246,38.68,5999,6179,5993,1756.99,472.8,15813.21,-0.1,0
2026-02-24 16:35:54,38.78,5999,6175,5999,1795.06,484.28,-0.1,0
2026-02-24 16:35:57,ARMGC_246,2.36,199,288,118,46.79,37.69,129.18,0.5,0
2026-02-24 16:35:57,2.37,199,289,115,49.49,40.52,0.5,0
2026-02-24 16:40:00,ARMGC_212,23.37,2679,2821,2725,845.47,253.36,5924.16,-1.6,0
2026-02-24 16:41:12,60.3,5999,6268,6001,1424.79,333.0,1.1,0
2026-02-24 16:41:12,ARMGC_246,60.18,5999,6253,6002,1359.92,317.31,22350.47,1.1,0
2026-02-24 16:46:21,ARMGC_212,122.31,9844,9497,9873,1898.42,402.08,42780.06,-0.5,0
2026-02-24 16:47:36,60.36,5999,6242,6019,1427.13,327.68,-1.1,0
2026-02-24 16:47:36,ARMGC_246,60.16,5999,6240,6019,1345.4,304.46,18603.8,-1.1,0
2026-02-24 16:48:45,ARMGC_212,15.3,8887,8568,8899,4369.65,1769.26,16380.17,-0.5,0
2026-02-24 16:50:44,ARMGC_212,100.84,10000,10232,9732,1709.66,365.45,42939.64,-0.9,0
2026-02-24 16:52:26,ARMGC_246,39.91,5999,6181,6009,1725.86,490.82,18018.8,-0.3,0
2026-02-24 16:54:45,ARMGC_212,64.88,8034,7758,8044,1881.89,396.86,21495.85,0.8,0
2026-02-24 16:55:05,34.41,5999,6206,5999,1843.08,523.27,0.3,0
2026-02-24 16:55:05,ARMGC_246,34.39,5999,6206,5999,1793.27,505.89,15264.64,0.3,0
2026-02-24 16:58:28,ARMGC_246,59.79,5999,6243,5999,1391.59,325.38,21265.94,0.9,0
2026-02-24 16:58:28,59.62,5999,6245,5963,1363.36,317.04,0.9,0
2026-02-24 16:58:35,ARMGC_212,68.64,8036,6741,8023,1172.09,238.6,18806.83,-0.8,0
2026-02-24 17:05:25,41.36,5999,6082,5917,1592.35,412.0,-2.0,0
2026-02-24 17:05:25,ARMGC_246,41.72,5999,6067,5981,1648.78,428.07,15385.7,-2.0,0
2026-02-24 17:06:22,ARMGC_212,32.48,3794,3835,3771,1081.29,290.0,8860.76,-1.2,0
2026-02-24 17:09:59,ARMGC_212,58.85,7056,6959,6935,1589.65,332.62,16453.39,-0.2,0
2026-02-24 17:14:23,ARMGC_212,59.34,7086,6666,7086,1680.59,365.02,17770.65,-0.7,0
2026-02-24 17:15:49,109.59,5999,6212,6022,1085.32,219.8,1.0,0
2026-02-24 17:15:49,ARMGC_246,109.59,5999,6212,6022,1070.14,216.83,29438.01,1.0,0
2026-02-24 17:22:05,47.09,999,1162,998,219.18,60.02,-0.7,0
2026-02-24 17:22:05,ARMGC_246,47.03,999,1162,993,210.68,58.42,3405.62,-0.7,0
2026-02-24 17:24:07,ARMGC_212,86.76,10000,10283,9910,2297.29,590.92,46285.45,-0.6,0
2026-02-24 17:25:36,ARMGC_212,80.41,9659,9324,9620,1887.65,402.33,29545.74,-0.9,0
2026-02-24 17:34:18,ARMGC_246,32.75,5999,6169,5989,1872.78,565.35,15801.45,0.2,0
2026-02-24 17:34:24,ARMGC_246,3.68,199,199,158,62.57,40.27,121.35,0.0,0
2026-02-24 17:35:41,ARMGC_212,143.33,10000,10209,9847,1850.93,406.84,57472.56,-0.3,0
2026-02-24 17:37:33,ARMGC_212,29.03,3097,3112,2086,521.46,178.03,5991.99,-0.7,0
2026-02-24 17:37:36,ARMGC_212,2.69,199,298,113,50.84,44.64,147.66,-1.2,0
2026-02-24 17:43:05,ARMGC_212,36.22,3790,3842,3790,1083.16,294.36,10268.54,-1.7,0
2026-02-24 17:43:08,ARMGC_212,2.68,199,303,104,48.45,38.87,116.26,-1.8,0
2026-02-24 17:47:20,ARMGC_212,84.76,10000,10253,9999,2166.6,434.33,34753.72,1.4,0
2026-02-24 17:47:23,ARMGC_212,2.97,199,300,129,51.79,34.87,120.48,1.7,0
2026-02-24 17:50:17,ARMGC_212,61.86,7337,5933,7269,1227.1,251.99,20017.01,0.4,0
2026-02-24 17:58:12,ARMGC_212,67.48,9080,8743,9139,2221.67,525.42,27719.38,0.5,0
2026-02-24 17:58:54,ARMGC_212,2.68,999,948,996,825.42,516.01,902.61,0.8,0
2026-02-24 17:59:02,ARMGC_212,1.5,503,629,629,325.14,232.98,721.56,-0.3,0
2026-02-24 17:59:11,ARMGC_246,148.36,5999,6097,5991,889.4,182.69,38876.3,1.0,0
2026-02-24 17:59:11,148.15,5999,6097,5991,877.32,181.4,1.0,0
2026-02-24 17:59:20,2.37,199,262,157,72.43,58.25,0.5,0
2026-02-24 17:59:20,ARMGC_246,2.78,199,262,157,80.2,60.71,193.87,0.4,0
2026-02-24 18:02:43,ARMGC_212,77.84,9084,8806,9091,2048.34,453.26,32202.58,1.2,0
2026-02-24 18:04:20,ARMGC_246,54.6,5999,6174,6023,1569.05,432.05,21870.34,1.3,0
2026-02-24 18:05:16,ARMGC_246,52.28,5999,6152,2898,479.93,131.16,12501.51,1.2,0
2026-02-24 18:05:16,52.28,5999,6152,2898,496.19,134.7,1.2,0
2026-02-24 18:06:12,ARMGC_212,16.66,10000,10216,9855,4898.63,2088.36,20573.38,-0.9,0
2026-02-24 18:09:29,ARMGC_246,46.74,5999,6184,6018,1602.84,379.3,17982.29,0.6,0
2026-02-24 18:09:29,46.74,5999,6062,6007,1623.19,384.17,0.6,0
2026-02-24 18:09:49,ARMGC_212,104.64,6775,5854,6779,1047.53,202.68,19488.92,-1.0,0
